dataset,expression,chain_of_thought,answer
train,((39 * 50) - (28 * 37)),"[""Compute 39 * 50 = 1950."", ""Compute 28 * 37 = 1036."", ""Compute 1950 - 1036 = 914.""]",914
train,(10 - 9),"[""Compute 10 - 9 = 1.""]",1
train,(8 + 19),"[""Compute 8 + 19 = 27.""]",27
train,(39 * 46),"[""Compute 39 * 46 = 1794.""]",1794
train,((15 * 5) + (49 + 22)),"[""Compute 15 * 5 = 75."", ""Compute 49 + 22 = 71."", ""Compute 75 + 71 = 146.""]",146
train,((34 * 16) - (28 - 49)),"[""Compute 34 * 16 = 544."", ""Compute 28 - 49 = -21."", ""Compute 544 - -21 = 565.""]",565
train,(16 + 12),"[""Compute 16 + 12 = 28.""]",28
train,((5 + 33) * (11 + 28)),"[""Compute 5 + 33 = 38."", ""Compute 11 + 28 = 39."", ""Compute 38 * 39 = 1482.""]",1482
train,(39 + 50),"[""Compute 39 + 50 = 89.""]",89
train,((25 * 10) + (44 * 48)),"[""Compute 25 * 10 = 250."", ""Compute 44 * 48 = 2112."", ""Compute 250 + 2112 = 2362.""]",2362
train,(28 * 24),"[""Compute 28 * 24 = 672.""]",672
train,(42 * 34),"[""Compute 42 * 34 = 1428.""]",1428
train,((1 - 23) - (10 - 28)),"[""Compute 1 - 23 = -22."", ""Compute 10 - 28 = -18."", ""Compute -22 - -18 = -4.""]",-4
train,(39 + 30),"[""Compute 39 + 30 = 69.""]",69
train,((21 + 48) + (47 * 37)),"[""Compute 21 + 48 = 69."", ""Compute 47 * 37 = 1739."", ""Compute 69 + 1739 = 1808.""]",1808
train,(41 * 6),"[""Compute 41 * 6 = 246.""]",246
train,(5 - 50),"[""Compute 5 - 50 = -45.""]",-45
train,((39 * 21) + (28 + 39)),"[""Compute 39 * 21 = 819."", ""Compute 28 + 39 = 67."", ""Compute 819 + 67 = 886.""]",886
train,(29 * 48),"[""Compute 29 * 48 = 1392.""]",1392
train,((6 - 33) + (25 * 9)),"[""Compute 6 - 33 = -27."", ""Compute 25 * 9 = 225."", ""Compute -27 + 225 = 198.""]",198
train,(26 + 36),"[""Compute 26 + 36 = 62.""]",62
train,(49 + 34),"[""Compute 49 + 34 = 83.""]",83
train,((7 - 2) + (34 + 43)),"[""Compute 7 - 2 = 5."", ""Compute 34 + 43 = 77."", ""Compute 5 + 77 = 82.""]",82
train,((42 - 26) * (13 - 11)),"[""Compute 42 - 26 = 16."", ""Compute 13 - 11 = 2."", ""Compute 16 * 2 = 32.""]",32
train,(29 - 39),"[""Compute 29 - 39 = -10.""]",-10
train,(27 + 21),"[""Compute 27 + 21 = 48.""]",48
train,((29 - 20) * (33 + 46)),"[""Compute 29 - 20 = 9."", ""Compute 33 + 46 = 79."", ""Compute 9 * 79 = 711.""]",711
train,((9 * 31) + (26 - 20)),"[""Compute 9 * 31 = 279."", ""Compute 26 - 20 = 6."", ""Compute 279 + 6 = 285.""]",285
train,(38 + 49),"[""Compute 38 + 49 = 87.""]",87
train,((9 * 3) - (39 - 6)),"[""Compute 9 * 3 = 27."", ""Compute 39 - 6 = 33."", ""Compute 27 - 33 = -6.""]",-6
train,(32 - 3),"[""Compute 32 - 3 = 29.""]",29
train,(11 - 39),"[""Compute 11 - 39 = -28.""]",-28
train,((22 - 48) * (42 * 38)),"[""Compute 22 - 48 = -26."", ""Compute 42 * 38 = 1596."", ""Compute -26 * 1596 = -41496.""]",-41496
train,(35 * 47),"[""Compute 35 * 47 = 1645.""]",1645
train,((8 * 26) + (39 - 2)),"[""Compute 8 * 26 = 208."", ""Compute 39 - 2 = 37."", ""Compute 208 + 37 = 245.""]",245
train,((15 * 26) + (34 + 17)),"[""Compute 15 * 26 = 390."", ""Compute 34 + 17 = 51."", ""Compute 390 + 51 = 441.""]",441
train,((19 - 2) * (16 * 12)),"[""Compute 19 - 2 = 17."", ""Compute 16 * 12 = 192."", ""Compute 17 * 192 = 3264.""]",3264
train,((46 - 31) + (25 * 16)),"[""Compute 46 - 31 = 15."", ""Compute 25 * 16 = 400."", ""Compute 15 + 400 = 415.""]",415
train,((4 * 37) * (42 + 35)),"[""Compute 4 * 37 = 148."", ""Compute 42 + 35 = 77."", ""Compute 148 * 77 = 11396.""]",11396
train,((26 - 18) * (12 - 24)),"[""Compute 26 - 18 = 8."", ""Compute 12 - 24 = -12."", ""Compute 8 * -12 = -96.""]",-96
train,(23 * 24),"[""Compute 23 * 24 = 552.""]",552
train,(6 - 28),"[""Compute 6 - 28 = -22.""]",-22
train,(39 + 45),"[""Compute 39 + 45 = 84.""]",84
train,(15 * 40),"[""Compute 15 * 40 = 600.""]",600
train,((20 - 23) + (3 + 27)),"[""Compute 20 - 23 = -3."", ""Compute 3 + 27 = 30."", ""Compute -3 + 30 = 27.""]",27
train,(7 + 35),"[""Compute 7 + 35 = 42.""]",42
train,((15 * 23) - (9 * 16)),"[""Compute 15 * 23 = 345."", ""Compute 9 * 16 = 144."", ""Compute 345 - 144 = 201.""]",201
train,(6 * 10),"[""Compute 6 * 10 = 60.""]",60
train,(49 * 28),"[""Compute 49 * 28 = 1372.""]",1372
train,(42 + 27),"[""Compute 42 + 27 = 69.""]",69
train,((47 * 43) * (32 + 7)),"[""Compute 47 * 43 = 2021."", ""Compute 32 + 7 = 39."", ""Compute 2021 * 39 = 78819.""]",78819
train,((35 + 7) - (20 * 42)),"[""Compute 35 + 7 = 42."", ""Compute 20 * 42 = 840."", ""Compute 42 - 840 = -798.""]",-798
train,((48 * 19) - (9 * 6)),"[""Compute 48 * 19 = 912."", ""Compute 9 * 6 = 54."", ""Compute 912 - 54 = 858.""]",858
train,(1 + 18),"[""Compute 1 + 18 = 19.""]",19
train,((37 + 46) + (45 + 10)),"[""Compute 37 + 46 = 83."", ""Compute 45 + 10 = 55."", ""Compute 83 + 55 = 138.""]",138
train,((37 + 13) * (19 - 40)),"[""Compute 37 + 13 = 50."", ""Compute 19 - 40 = -21."", ""Compute 50 * -21 = -1050.""]",-1050
train,((20 * 26) - (15 - 15)),"[""Compute 20 * 26 = 520."", ""Compute 15 - 15 = 0."", ""Compute 520 - 0 = 520.""]",520
train,((38 + 20) * (9 - 40)),"[""Compute 38 + 20 = 58."", ""Compute 9 - 40 = -31."", ""Compute 58 * -31 = -1798.""]",-1798
train,((35 - 26) * (8 + 4)),"[""Compute 35 - 26 = 9."", ""Compute 8 + 4 = 12."", ""Compute 9 * 12 = 108.""]",108
train,(31 - 19),"[""Compute 31 - 19 = 12.""]",12
train,((46 * 26) * (33 * 32)),"[""Compute 46 * 26 = 1196."", ""Compute 33 * 32 = 1056."", ""Compute 1196 * 1056 = 1262976.""]",1262976
train,((29 * 35) - (27 - 40)),"[""Compute 29 * 35 = 1015."", ""Compute 27 - 40 = -13."", ""Compute 1015 - -13 = 1028.""]",1028
train,((30 - 11) - (30 + 37)),"[""Compute 30 - 11 = 19."", ""Compute 30 + 37 = 67."", ""Compute 19 - 67 = -48.""]",-48
train,((33 * 11) - (28 - 30)),"[""Compute 33 * 11 = 363."", ""Compute 28 - 30 = -2."", ""Compute 363 - -2 = 365.""]",365
train,((48 * 8) - (46 + 39)),"[""Compute 48 * 8 = 384."", ""Compute 46 + 39 = 85."", ""Compute 384 - 85 = 299.""]",299
train,(3 * 30),"[""Compute 3 * 30 = 90.""]",90
train,(1 + 14),"[""Compute 1 + 14 = 15.""]",15
train,(30 + 45),"[""Compute 30 + 45 = 75.""]",75
train,(18 + 49),"[""Compute 18 + 49 = 67.""]",67
train,(17 + 22),"[""Compute 17 + 22 = 39.""]",39
train,((14 * 23) + (41 * 31)),"[""Compute 14 * 23 = 322."", ""Compute 41 * 31 = 1271."", ""Compute 322 + 1271 = 1593.""]",1593
train,(22 * 44),"[""Compute 22 * 44 = 968.""]",968
train,((25 + 39) * (41 - 21)),"[""Compute 25 + 39 = 64."", ""Compute 41 - 21 = 20."", ""Compute 64 * 20 = 1280.""]",1280
train,(11 - 25),"[""Compute 11 - 25 = -14.""]",-14
train,((38 * 40) * (25 - 5)),"[""Compute 38 * 40 = 1520."", ""Compute 25 - 5 = 20."", ""Compute 1520 * 20 = 30400.""]",30400
train,((4 + 44) - (30 + 23)),"[""Compute 4 + 44 = 48."", ""Compute 30 + 23 = 53."", ""Compute 48 - 53 = -5.""]",-5
train,(17 + 27),"[""Compute 17 + 27 = 44.""]",44
train,(1 - 42),"[""Compute 1 - 42 = -41.""]",-41
train,(35 * 1),"[""Compute 35 * 1 = 35.""]",35
train,((46 - 29) - (33 * 16)),"[""Compute 46 - 29 = 17."", ""Compute 33 * 16 = 528."", ""Compute 17 - 528 = -511.""]",-511
train,((44 * 41) * (27 + 25)),"[""Compute 44 * 41 = 1804."", ""Compute 27 + 25 = 52."", ""Compute 1804 * 52 = 93808.""]",93808
train,(42 - 16),"[""Compute 42 - 16 = 26.""]",26
train,(37 + 39),"[""Compute 37 + 39 = 76.""]",76
train,((38 + 6) + (19 + 36)),"[""Compute 38 + 6 = 44."", ""Compute 19 + 36 = 55."", ""Compute 44 + 55 = 99.""]",99
train,(49 + 30),"[""Compute 49 + 30 = 79.""]",79
train,(36 + 15),"[""Compute 36 + 15 = 51.""]",51
train,((5 + 43) + (33 - 31)),"[""Compute 5 + 43 = 48."", ""Compute 33 - 31 = 2."", ""Compute 48 + 2 = 50.""]",50
train,(4 * 39),"[""Compute 4 * 39 = 156.""]",156
train,((44 + 20) + (3 * 17)),"[""Compute 44 + 20 = 64."", ""Compute 3 * 17 = 51."", ""Compute 64 + 51 = 115.""]",115
train,((12 - 35) * (15 + 35)),"[""Compute 12 - 35 = -23."", ""Compute 15 + 35 = 50."", ""Compute -23 * 50 = -1150.""]",-1150
train,((11 + 47) - (6 * 5)),"[""Compute 11 + 47 = 58."", ""Compute 6 * 5 = 30."", ""Compute 58 - 30 = 28.""]",28
train,((42 - 24) - (40 - 44)),"[""Compute 42 - 24 = 18."", ""Compute 40 - 44 = -4."", ""Compute 18 - -4 = 22.""]",22
train,(7 + 10),"[""Compute 7 + 10 = 17.""]",17
train,(8 - 5),"[""Compute 8 - 5 = 3.""]",3
train,((41 * 37) * (30 + 11)),"[""Compute 41 * 37 = 1517."", ""Compute 30 + 11 = 41."", ""Compute 1517 * 41 = 62197.""]",62197
train,((8 * 8) * (46 * 10)),"[""Compute 8 * 8 = 64."", ""Compute 46 * 10 = 460."", ""Compute 64 * 460 = 29440.""]",29440
train,(40 * 50),"[""Compute 40 * 50 = 2000.""]",2000
train,((21 * 44) - (27 - 19)),"[""Compute 21 * 44 = 924."", ""Compute 27 - 19 = 8."", ""Compute 924 - 8 = 916.""]",916
train,(25 - 50),"[""Compute 25 - 50 = -25.""]",-25
train,(28 + 23),"[""Compute 28 + 23 = 51.""]",51
train,(40 - 1),"[""Compute 40 - 1 = 39.""]",39
train,((12 + 14) + (26 * 39)),"[""Compute 12 + 14 = 26."", ""Compute 26 * 39 = 1014."", ""Compute 26 + 1014 = 1040.""]",1040
train,((23 - 18) * (11 + 20)),"[""Compute 23 - 18 = 5."", ""Compute 11 + 20 = 31."", ""Compute 5 * 31 = 155.""]",155
train,(20 * 7),"[""Compute 20 * 7 = 140.""]",140
train,((16 + 37) * (22 - 37)),"[""Compute 16 + 37 = 53."", ""Compute 22 - 37 = -15."", ""Compute 53 * -15 = -795.""]",-795
train,(49 + 31),"[""Compute 49 + 31 = 80.""]",80
train,((2 - 23) + (29 * 19)),"[""Compute 2 - 23 = -21."", ""Compute 29 * 19 = 551."", ""Compute -21 + 551 = 530.""]",530
train,(5 - 40),"[""Compute 5 - 40 = -35.""]",-35
train,((4 + 4) * (49 - 14)),"[""Compute 4 + 4 = 8."", ""Compute 49 - 14 = 35."", ""Compute 8 * 35 = 280.""]",280
train,(26 - 16),"[""Compute 26 - 16 = 10.""]",10
train,((47 * 8) * (47 - 26)),"[""Compute 47 * 8 = 376."", ""Compute 47 - 26 = 21."", ""Compute 376 * 21 = 7896.""]",7896
train,((14 + 5) - (23 - 33)),"[""Compute 14 + 5 = 19."", ""Compute 23 - 33 = -10."", ""Compute 19 - -10 = 29.""]",29
train,((41 - 31) - (43 * 38)),"[""Compute 41 - 31 = 10."", ""Compute 43 * 38 = 1634."", ""Compute 10 - 1634 = -1624.""]",-1624
train,((9 - 9) * (8 * 8)),"[""Compute 9 - 9 = 0."", ""Compute 8 * 8 = 64."", ""Compute 0 * 64 = 0.""]",0
train,(28 * 19),"[""Compute 28 * 19 = 532.""]",532
train,(38 - 17),"[""Compute 38 - 17 = 21.""]",21
train,((17 * 25) + (2 - 9)),"[""Compute 17 * 25 = 425."", ""Compute 2 - 9 = -7."", ""Compute 425 + -7 = 418.""]",418
train,(25 - 36),"[""Compute 25 - 36 = -11.""]",-11
train,((11 * 18) * (7 * 16)),"[""Compute 11 * 18 = 198."", ""Compute 7 * 16 = 112."", ""Compute 198 * 112 = 22176.""]",22176
train,((34 - 30) - (15 - 1)),"[""Compute 34 - 30 = 4."", ""Compute 15 - 1 = 14."", ""Compute 4 - 14 = -10.""]",-10
train,((19 + 34) - (46 - 8)),"[""Compute 19 + 34 = 53."", ""Compute 46 - 8 = 38."", ""Compute 53 - 38 = 15.""]",15
train,(41 * 15),"[""Compute 41 * 15 = 615.""]",615
train,((50 * 7) + (43 + 17)),"[""Compute 50 * 7 = 350."", ""Compute 43 + 17 = 60."", ""Compute 350 + 60 = 410.""]",410
train,(26 - 44),"[""Compute 26 - 44 = -18.""]",-18
train,((25 * 20) - (20 - 34)),"[""Compute 25 * 20 = 500."", ""Compute 20 - 34 = -14."", ""Compute 500 - -14 = 514.""]",514
train,((23 + 28) - (44 + 42)),"[""Compute 23 + 28 = 51."", ""Compute 44 + 42 = 86."", ""Compute 51 - 86 = -35.""]",-35
train,(35 - 4),"[""Compute 35 - 4 = 31.""]",31
train,(39 + 41),"[""Compute 39 + 41 = 80.""]",80
train,((40 + 50) + (30 * 21)),"[""Compute 40 + 50 = 90."", ""Compute 30 * 21 = 630."", ""Compute 90 + 630 = 720.""]",720
train,(28 * 3),"[""Compute 28 * 3 = 84.""]",84
train,(36 + 46),"[""Compute 36 + 46 = 82.""]",82
train,(39 - 34),"[""Compute 39 - 34 = 5.""]",5
train,(32 * 7),"[""Compute 32 * 7 = 224.""]",224
train,((29 - 36) * (42 * 4)),"[""Compute 29 - 36 = -7."", ""Compute 42 * 4 = 168."", ""Compute -7 * 168 = -1176.""]",-1176
train,((18 - 41) * (28 - 26)),"[""Compute 18 - 41 = -23."", ""Compute 28 - 26 = 2."", ""Compute -23 * 2 = -46.""]",-46
train,((5 - 26) * (43 - 10)),"[""Compute 5 - 26 = -21."", ""Compute 43 - 10 = 33."", ""Compute -21 * 33 = -693.""]",-693
train,(33 - 25),"[""Compute 33 - 25 = 8.""]",8
train,(34 * 8),"[""Compute 34 * 8 = 272.""]",272
train,(18 + 31),"[""Compute 18 + 31 = 49.""]",49
train,((15 * 42) * (47 + 2)),"[""Compute 15 * 42 = 630."", ""Compute 47 + 2 = 49."", ""Compute 630 * 49 = 30870.""]",30870
train,(50 * 33),"[""Compute 50 * 33 = 1650.""]",1650
train,(13 + 9),"[""Compute 13 + 9 = 22.""]",22
train,((36 + 36) + (43 + 22)),"[""Compute 36 + 36 = 72."", ""Compute 43 + 22 = 65."", ""Compute 72 + 65 = 137.""]",137
train,(4 - 11),"[""Compute 4 - 11 = -7.""]",-7
train,((4 + 15) * (31 * 36)),"[""Compute 4 + 15 = 19."", ""Compute 31 * 36 = 1116."", ""Compute 19 * 1116 = 21204.""]",21204
train,((48 + 42) - (7 - 7)),"[""Compute 48 + 42 = 90."", ""Compute 7 - 7 = 0."", ""Compute 90 - 0 = 90.""]",90
train,((17 + 18) + (50 * 34)),"[""Compute 17 + 18 = 35."", ""Compute 50 * 34 = 1700."", ""Compute 35 + 1700 = 1735.""]",1735
train,((4 + 40) * (48 * 30)),"[""Compute 4 + 40 = 44."", ""Compute 48 * 30 = 1440."", ""Compute 44 * 1440 = 63360.""]",63360
train,((26 * 25) * (34 + 27)),"[""Compute 26 * 25 = 650."", ""Compute 34 + 27 = 61."", ""Compute 650 * 61 = 39650.""]",39650
train,((29 + 23) + (45 * 48)),"[""Compute 29 + 23 = 52."", ""Compute 45 * 48 = 2160."", ""Compute 52 + 2160 = 2212.""]",2212
train,((16 - 21) * (34 - 33)),"[""Compute 16 - 21 = -5."", ""Compute 34 - 33 = 1."", ""Compute -5 * 1 = -5.""]",-5
train,(19 + 44),"[""Compute 19 + 44 = 63.""]",63
train,(46 * 25),"[""Compute 46 * 25 = 1150.""]",1150
train,((37 + 19) + (35 - 30)),"[""Compute 37 + 19 = 56."", ""Compute 35 - 30 = 5."", ""Compute 56 + 5 = 61.""]",61
train,((8 * 20) - (41 + 40)),"[""Compute 8 * 20 = 160."", ""Compute 41 + 40 = 81."", ""Compute 160 - 81 = 79.""]",79
train,(14 + 25),"[""Compute 14 + 25 = 39.""]",39
train,(23 * 21),"[""Compute 23 * 21 = 483.""]",483
train,((25 - 8) - (16 * 21)),"[""Compute 25 - 8 = 17."", ""Compute 16 * 21 = 336."", ""Compute 17 - 336 = -319.""]",-319
train,((19 + 47) * (9 - 44)),"[""Compute 19 + 47 = 66."", ""Compute 9 - 44 = -35."", ""Compute 66 * -35 = -2310.""]",-2310
train,((30 - 28) + (39 - 13)),"[""Compute 30 - 28 = 2."", ""Compute 39 - 13 = 26."", ""Compute 2 + 26 = 28.""]",28
train,((1 * 39) - (12 - 1)),"[""Compute 1 * 39 = 39."", ""Compute 12 - 1 = 11."", ""Compute 39 - 11 = 28.""]",28
train,((45 + 38) - (13 * 13)),"[""Compute 45 + 38 = 83."", ""Compute 13 * 13 = 169."", ""Compute 83 - 169 = -86.""]",-86
train,(29 - 31),"[""Compute 29 - 31 = -2.""]",-2
train,(30 - 29),"[""Compute 30 - 29 = 1.""]",1
train,((41 + 9) + (27 - 30)),"[""Compute 41 + 9 = 50."", ""Compute 27 - 30 = -3."", ""Compute 50 + -3 = 47.""]",47
train,(26 * 17),"[""Compute 26 * 17 = 442.""]",442
train,((39 - 30) + (22 - 27)),"[""Compute 39 - 30 = 9."", ""Compute 22 - 27 = -5."", ""Compute 9 + -5 = 4.""]",4
train,(47 + 46),"[""Compute 47 + 46 = 93.""]",93
train,(34 + 41),"[""Compute 34 + 41 = 75.""]",75
train,(25 - 47),"[""Compute 25 - 47 = -22.""]",-22
train,((44 + 19) - (40 - 6)),"[""Compute 44 + 19 = 63."", ""Compute 40 - 6 = 34."", ""Compute 63 - 34 = 29.""]",29
train,(39 * 19),"[""Compute 39 * 19 = 741.""]",741
train,((10 * 16) * (22 * 5)),"[""Compute 10 * 16 = 160."", ""Compute 22 * 5 = 110."", ""Compute 160 * 110 = 17600.""]",17600
train,(1 - 4),"[""Compute 1 - 4 = -3.""]",-3
train,((42 - 27) * (29 * 2)),"[""Compute 42 - 27 = 15."", ""Compute 29 * 2 = 58."", ""Compute 15 * 58 = 870.""]",870
train,((50 + 24) - (35 + 15)),"[""Compute 50 + 24 = 74."", ""Compute 35 + 15 = 50."", ""Compute 74 - 50 = 24.""]",24
train,((7 + 30) - (49 - 32)),"[""Compute 7 + 30 = 37."", ""Compute 49 - 32 = 17."", ""Compute 37 - 17 = 20.""]",20
train,(36 * 47),"[""Compute 36 * 47 = 1692.""]",1692
train,((23 - 17) * (8 - 22)),"[""Compute 23 - 17 = 6."", ""Compute 8 - 22 = -14."", ""Compute 6 * -14 = -84.""]",-84
train,((31 * 21) + (35 * 44)),"[""Compute 31 * 21 = 651."", ""Compute 35 * 44 = 1540."", ""Compute 651 + 1540 = 2191.""]",2191
train,((21 * 39) + (48 * 17)),"[""Compute 21 * 39 = 819."", ""Compute 48 * 17 = 816."", ""Compute 819 + 816 = 1635.""]",1635
train,(35 * 46),"[""Compute 35 * 46 = 1610.""]",1610
train,(22 - 39),"[""Compute 22 - 39 = -17.""]",-17
train,(1 - 16),"[""Compute 1 - 16 = -15.""]",-15
train,((20 * 5) * (45 - 16)),"[""Compute 20 * 5 = 100."", ""Compute 45 - 16 = 29."", ""Compute 100 * 29 = 2900.""]",2900
train,(43 - 45),"[""Compute 43 - 45 = -2.""]",-2
train,(46 + 6),"[""Compute 46 + 6 = 52.""]",52
train,(7 + 20),"[""Compute 7 + 20 = 27.""]",27
train,((12 * 10) - (21 + 23)),"[""Compute 12 * 10 = 120."", ""Compute 21 + 23 = 44."", ""Compute 120 - 44 = 76.""]",76
train,(11 + 10),"[""Compute 11 + 10 = 21.""]",21
train,((44 + 1) * (15 + 1)),"[""Compute 44 + 1 = 45."", ""Compute 15 + 1 = 16."", ""Compute 45 * 16 = 720.""]",720
train,((25 - 17) - (24 * 26)),"[""Compute 25 - 17 = 8."", ""Compute 24 * 26 = 624."", ""Compute 8 - 624 = -616.""]",-616
train,((44 * 24) + (50 * 50)),"[""Compute 44 * 24 = 1056."", ""Compute 50 * 50 = 2500."", ""Compute 1056 + 2500 = 3556.""]",3556
train,(22 + 7),"[""Compute 22 + 7 = 29.""]",29
train,((14 - 9) + (35 + 26)),"[""Compute 14 - 9 = 5."", ""Compute 35 + 26 = 61."", ""Compute 5 + 61 = 66.""]",66
train,((23 - 34) * (1 + 40)),"[""Compute 23 - 34 = -11."", ""Compute 1 + 40 = 41."", ""Compute -11 * 41 = -451.""]",-451
train,((12 + 22) - (12 + 45)),"[""Compute 12 + 22 = 34."", ""Compute 12 + 45 = 57."", ""Compute 34 - 57 = -23.""]",-23
train,((12 * 8) + (16 * 42)),"[""Compute 12 * 8 = 96."", ""Compute 16 * 42 = 672."", ""Compute 96 + 672 = 768.""]",768
train,(8 - 49),"[""Compute 8 - 49 = -41.""]",-41
train,((47 + 43) - (7 - 16)),"[""Compute 47 + 43 = 90."", ""Compute 7 - 16 = -9."", ""Compute 90 - -9 = 99.""]",99
train,((2 * 40) - (33 + 23)),"[""Compute 2 * 40 = 80."", ""Compute 33 + 23 = 56."", ""Compute 80 - 56 = 24.""]",24
train,(9 - 9),"[""Compute 9 - 9 = 0.""]",0
train,((21 * 27) - (35 - 11)),"[""Compute 21 * 27 = 567."", ""Compute 35 - 11 = 24."", ""Compute 567 - 24 = 543.""]",543
train,((21 * 8) - (11 + 8)),"[""Compute 21 * 8 = 168."", ""Compute 11 + 8 = 19."", ""Compute 168 - 19 = 149.""]",149
train,(18 - 43),"[""Compute 18 - 43 = -25.""]",-25
train,((36 - 3) - (34 + 6)),"[""Compute 36 - 3 = 33."", ""Compute 34 + 6 = 40."", ""Compute 33 - 40 = -7.""]",-7
train,((43 - 28) * (22 * 3)),"[""Compute 43 - 28 = 15."", ""Compute 22 * 3 = 66."", ""Compute 15 * 66 = 990.""]",990
train,(31 * 21),"[""Compute 31 * 21 = 651.""]",651
train,((28 * 48) + (23 * 44)),"[""Compute 28 * 48 = 1344."", ""Compute 23 * 44 = 1012."", ""Compute 1344 + 1012 = 2356.""]",2356
train,(18 - 49),"[""Compute 18 - 49 = -31.""]",-31
train,((33 * 22) * (44 * 5)),"[""Compute 33 * 22 = 726."", ""Compute 44 * 5 = 220."", ""Compute 726 * 220 = 159720.""]",159720
train,(21 - 18),"[""Compute 21 - 18 = 3.""]",3
train,((4 + 46) + (49 - 13)),"[""Compute 4 + 46 = 50."", ""Compute 49 - 13 = 36."", ""Compute 50 + 36 = 86.""]",86
train,((26 * 31) + (41 - 33)),"[""Compute 26 * 31 = 806."", ""Compute 41 - 33 = 8."", ""Compute 806 + 8 = 814.""]",814
train,((8 + 41) * (23 + 42)),"[""Compute 8 + 41 = 49."", ""Compute 23 + 42 = 65."", ""Compute 49 * 65 = 3185.""]",3185
train,(14 + 10),"[""Compute 14 + 10 = 24.""]",24
train,((25 * 41) + (47 - 44)),"[""Compute 25 * 41 = 1025."", ""Compute 47 - 44 = 3."", ""Compute 1025 + 3 = 1028.""]",1028
train,(45 * 15),"[""Compute 45 * 15 = 675.""]",675
train,((35 - 10) + (10 - 10)),"[""Compute 35 - 10 = 25."", ""Compute 10 - 10 = 0."", ""Compute 25 + 0 = 25.""]",25
train,(37 + 5),"[""Compute 37 + 5 = 42.""]",42
train,((43 * 7) + (12 - 38)),"[""Compute 43 * 7 = 301."", ""Compute 12 - 38 = -26."", ""Compute 301 + -26 = 275.""]",275
train,(43 * 22),"[""Compute 43 * 22 = 946.""]",946
train,(49 - 46),"[""Compute 49 - 46 = 3.""]",3
train,((33 * 2) * (44 * 42)),"[""Compute 33 * 2 = 66."", ""Compute 44 * 42 = 1848."", ""Compute 66 * 1848 = 121968.""]",121968
train,(7 * 13),"[""Compute 7 * 13 = 91.""]",91
train,(27 * 21),"[""Compute 27 * 21 = 567.""]",567
train,((27 * 6) * (42 + 4)),"[""Compute 27 * 6 = 162."", ""Compute 42 + 4 = 46."", ""Compute 162 * 46 = 7452.""]",7452
train,((26 + 39) + (1 + 19)),"[""Compute 26 + 39 = 65."", ""Compute 1 + 19 = 20."", ""Compute 65 + 20 = 85.""]",85
train,((35 - 31) + (47 - 42)),"[""Compute 35 - 31 = 4."", ""Compute 47 - 42 = 5."", ""Compute 4 + 5 = 9.""]",9
train,((38 + 16) + (48 - 2)),"[""Compute 38 + 16 = 54."", ""Compute 48 - 2 = 46."", ""Compute 54 + 46 = 100.""]",100
train,((25 + 1) * (24 * 49)),"[""Compute 25 + 1 = 26."", ""Compute 24 * 49 = 1176."", ""Compute 26 * 1176 = 30576.""]",30576
train,(5 * 46),"[""Compute 5 * 46 = 230.""]",230
train,((6 - 5) * (24 + 4)),"[""Compute 6 - 5 = 1."", ""Compute 24 + 4 = 28."", ""Compute 1 * 28 = 28.""]",28
train,(34 - 50),"[""Compute 34 - 50 = -16.""]",-16
train,((47 + 41) - (13 + 50)),"[""Compute 47 + 41 = 88."", ""Compute 13 + 50 = 63."", ""Compute 88 - 63 = 25.""]",25
train,(37 * 34),"[""Compute 37 * 34 = 1258.""]",1258
train,((3 - 2) - (33 * 31)),"[""Compute 3 - 2 = 1."", ""Compute 33 * 31 = 1023."", ""Compute 1 - 1023 = -1022.""]",-1022
train,(16 + 14),"[""Compute 16 + 14 = 30.""]",30
train,(41 * 2),"[""Compute 41 * 2 = 82.""]",82
train,(50 + 6),"[""Compute 50 + 6 = 56.""]",56
train,(25 - 42),"[""Compute 25 - 42 = -17.""]",-17
train,(8 - 18),"[""Compute 8 - 18 = -10.""]",-10
train,(1 - 16),"[""Compute 1 - 16 = -15.""]",-15
train,((49 + 26) * (36 - 18)),"[""Compute 49 + 26 = 75."", ""Compute 36 - 18 = 18."", ""Compute 75 * 18 = 1350.""]",1350
train,((20 - 3) - (27 + 36)),"[""Compute 20 - 3 = 17."", ""Compute 27 + 36 = 63."", ""Compute 17 - 63 = -46.""]",-46
train,(48 * 13),"[""Compute 48 * 13 = 624.""]",624
train,(18 - 49),"[""Compute 18 - 49 = -31.""]",-31
train,((24 + 42) - (18 - 2)),"[""Compute 24 + 42 = 66."", ""Compute 18 - 2 = 16."", ""Compute 66 - 16 = 50.""]",50
train,(12 + 49),"[""Compute 12 + 49 = 61.""]",61
train,((39 * 4) - (31 - 21)),"[""Compute 39 * 4 = 156."", ""Compute 31 - 21 = 10."", ""Compute 156 - 10 = 146.""]",146
train,(17 + 1),"[""Compute 17 + 1 = 18.""]",18
train,((29 - 20) * (2 * 15)),"[""Compute 29 - 20 = 9."", ""Compute 2 * 15 = 30."", ""Compute 9 * 30 = 270.""]",270
train,((2 - 5) * (42 * 25)),"[""Compute 2 - 5 = -3."", ""Compute 42 * 25 = 1050."", ""Compute -3 * 1050 = -3150.""]",-3150
train,((16 - 38) - (10 - 8)),"[""Compute 16 - 38 = -22."", ""Compute 10 - 8 = 2."", ""Compute -22 - 2 = -24.""]",-24
